Date,CCMP Index,INDU Index,TRAN Index,UTIL Index,NYA Index,SPX Index,OEX Index,XAX Index,OMX Index
12/31/2010,2652.87,11577.51,5106.75,404.99,7964.02,1257.64,565.9,2208.38,1176.85
1/3/2011,2691.52,11670.75,5174.93,406.58,8043.97,1271.87,572.23,2217.62,1176.85
1/4/2011,2681.25,11691.18,5139,408.52,8022.18,1270.2,573.23,2198.58,1165.88
1/5/2011,2702.2,11722.89,5154.59,406.2,8040.04,1276.56,576,2200.51,1151.8
1/6/2011,2709.89,11697.31,5143.97,406.43,8000.9,1273.85,574.73,2172.91,1151.8
1/7/2011,2703.17,11674.76,5178.45,407.72,7980.32,1271.5,573.38,2150.58,1159.45
1/10/2011,2707.8,11637.45,5208.18,405.41,7966.09,1269.75,572.1,2158.5,1152.61
1/11/2011,2716.83,11671.88,5172.14,406.1,8018.68,1274.48,573.84,2187.87,1174.36
1/12/2011,2737.33,11755.44,5212.6,408.63,8122.98,1285.96,579.17,2203.38,1174.1
1/13/2011,2735.29,11731.9,5229.47,409.34,8119.43,1283.76,577.74,2167.77,1174.43
1/14/2011,2755.3,11787.38,5228.3,410.87,8174.12,1293.24,582.32,2185.52,1173.28
1/18/2011,2765.85,11837.93,5221.65,411.78,8190.91,1295.02,582.34,2193.15,1179.29
1/19/2011,2725.36,11825.29,5129.33,411.31,8104.92,1281.92,577.47,2164.35,1155.64
1/20/2011,2704.29,11822.8,5080.82,413.71,8076.72,1280.26,577.47,2134.8,1136.42
1/21/2011,2689.54,11871.84,5045.62,413.34,8105.75,1283.35,579.55,2125.88,1150.84
1/24/2011,2717.55,11980.52,5076.52,415.59,8157.42,1290.84,582.96,2157.62,1148.74
1/25/2011,2719.25,11977.19,5050.59,414.58,8141.13,1291.18,583.3,2142.23,1152.69
1/26/2011,2739.5,11985.44,5106.75,413.39,8193.64,1296.63,584.88,2174.86,1173.85
1/27/2011,2755.28,11989.83,5135.31,414.42,8207.06,1299.54,585.72,2166.43,1165.71
1/28/2011,2686.89,11823.7,4994.87,408.94,8062.64,1276.34,575.64,2140.29,1151.8
1/31/2011,2700.08,11891.93,5025.11,409.35,8139.16,1286.12,579.23,2172.04,1147.22
2/1/2011,2751.19,12040.16,5126.09,413.57,8290.09,1307.59,589.54,2201.28,1146.79
2/2/2011,2749.56,12041.97,5026.67,411.99,8272.57,1304.03,587.78,2222.35,1130.42
2/3/2011,2753.88,12062.26,5047.35,413.62,8289.05,1307.1,589.1,2265.04,1138.72
2/4/2011,2769.3,12092.15,5055.67,411.01,8288.5,1310.87,589.69,2256.45,1139.31
2/7/2011,2783.99,12161.63,5070.71,413.83,8336.64,1319.05,593.68,2273.48,1140.5
2/8/2011,2797.05,12233.15,5085.07,413.78,8379.85,1324.57,596.27,2267.75,1132.83
2/9/2011,2789.07,12239.89,5096.19,413.56,8343.99,1320.88,594.86,2255.91,1134.83
2/10/2011,2790.45,12229.29,5167.67,414.37,8337.13,1321.87,593.67,2258.2,1127
2/11/2011,2809.44,12273.26,5235.51,413.34,8374.89,1329.15,596.6,2266.46,1139.97
2/14/2011,2817.18,12268.19,5217.9,409.76,8405.15,1332.32,598.26,2275.87,1134.05
2/15/2011,2804.35,12226.64,5231.04,410.71,8383.67,1328.01,596.46,2292.97,1125.85
2/16/2011,2825.56,12288.17,5285.52,409.19,8453.76,1336.32,599.82,2307.63,1128
2/17/2011,2831.58,12318.14,5298.1,411.23,8497.41,1340.43,601.32,2332.96,1110.69
2/18/2011,2833.95,12391.25,5296.2,411.13,8507.9,1343.01,602.49,2346.81,1117.23
2/22/2011,2756.42,12212.79,5093.23,410.34,8325.86,1315.44,591.37,2325.26,1112.35
2/23/2011,2722.99,12105.78,4986.21,409.37,8292.92,1307.4,588.56,2337.82,1098.07
2/24/2011,2737.9,12068.5,5008.45,408.32,8276.29,1306.1,587.29,2319.17,1102.3
2/25/2011,2781.05,12130.45,5060.37,410.88,8378.04,1319.88,592.25,2358.78,1116.79
2/28/2011,2782.27,12226.34,5084.9,415.61,8438.55,1327.22,595.96,2381.29,1128.66
3/1/2011,2737.41,12058.02,4956.59,411.57,8315.85,1306.33,587.2,2380.34,1119.16
3/2/2011,2748.07,12066.8,4987.78,411.45,8338.76,1308.44,587.65,2395.37,1103.61
3/3/2011,2798.74,12258.2,5111.22,414.95,8465.45,1330.97,597.41,2407.69,1110.8
3/4/2011,2784.67,12169.88,5060.54,412.56,8413.05,1321.15,592.54,2419.74,1112.38
3/7/2011,2745.63,12090.03,5018.23,413.22,8337.02,1310.13,588.1,2402.07,1117.98
